Name,Age,Debut,Nationality,Stance,Reach,Total_Bouts,Wins,Winrate,Total_Rounds,Ko_Wins,Ko_Percentace
Zaur Abdullaev,30,2017,Russia,orthodox,"71.7"" / 182 cm",22,20,90.91,,12,60
Masood Abdulah,31,2021,United Kingdom,orthodox,-,12,11,91.67,,7,64
Arthur Abraham,44,2003,Germany,orthodox,"72"" / 183 cm",53,47,88.68,,30,64
Efe Ajagba,30,2017,Nigeria,orthodox,"88.2"" / 224 cm",21,20,95.24,,16,80
Artur Akavov,36,2011,Russia,southpaw,"69.7"" / 177 cm",25,21,84.0,,10,48
Ra'eese Aleem,34,2011,USA,orthodox,"68.5"" / 174 cm",21,20,95.24,,12,60
Felix Alvarado,35,2010,Nicaragua,orthodox,"68.1"" / 173 cm",46,42,91.3,,35,83
Jerwin Ancajas,33,2009,Philippines,southpaw,"66.5"" / 169 cm",42,36,85.71,264.0,24,69
Demetrius Andrade,36,2008,USA,southpaw,"73.6"" / 187 cm",33,32,96.97,,19,59
Roman Andreev,38,2008,Russia,orthodox,-,26,25,96.15,,17,68
Matty Askin,35,2008,United Kingdom,orthodox,"77.2"" / 196 cm",28,23,82.14,,15,65
Adam Azim,23,2020,England,orthodox,"70.9"" / 180 cm",13,13,100.0,,10,77
Alen Babic,33,2019,Croatia,orthodox,"74"" / 188 cm",14,12,85.71,,11,92
Nick Ball,28,2017,England,orthodox,"65"" / 165 cm",23,22,95.65,134.0,13,59
Abass Baraou,30,2018,Germany,orthodox,-,17,16,94.12,119.0,9,56
Paddy Barnes,37,2016,Ireland,orthodox,"64.6"" / 164 cm",9,6,66.67,,2,33
Jonathan Victor Barros,40,2004,Argentina,orthodox,"70.9"" / 180 cm",52,43,82.69,,23,53
Ismael Barroso,41,2005,Venezuela,southpaw,"68.9"" / 175 cm",32,25,78.12,,23,92
Rances Barthelemy,38,2009,Cuba,orthodox,"72.8"" / 185 cm",34,30,88.24,,15,50
Brandon Adams,35,2011,USA,orthodox,"70.1"" / 178 cm",29,25,86.21,,16,64
Joseph Adorno,26,2016,United States,orthodox,"68.1"" / 173 cm",27,21,77.78,106.0,17,81
Botirzhon Akhmedov,33,2017,Ukraine,southpaw,"68.5"" / 174 cm",14,10,71.43,,9,90
Gabriela Celeste Alaniz,28,2018,Argentina,orthodox,"61.8"" / 157 cm",17,15,88.24,,6,40
Mehdi Amar,42,2003,France,orthodox,-,43,35,81.4,,16,46
Samuel Antwi,32,2015,United Kingdom,orthodox,-,19,17,89.47,,8,47
Jaime Arboleda,30,2014,Panama,orthodox,"72"" / 183 cm",23,20,86.96,,15,75
McWilliams Arroyo,38,2010,Puerto Rico,orthodox,"64.2"" / 163 cm",25,21,84.0,,16,76
Chris Avalos,34,2008,USA,orthodox,"68.1"" / 173 cm",35,27,77.14,,20,74
Martin Bakole,31,2014,Democratic Republic Of The Congo,orthodox,"77.2"" / 196 cm",23,21,91.3,,16,76
Ionut Baluta,31,2016,Romania,orthodox,"72.8"" / 185 cm",23,17,73.91,169.0,3,18
Zelfa Barrett,31,2014,England,orthodox,"68.1"" / 173 cm",34,32,94.12,212.0,17,55
Carlos Adames,30,2015,Dominican Republic,orthodox,"72.8"" / 185 cm",26,24,92.31,,18,75
Kudratillo Abdukakhorov,31,2015,Uzbekistan,orthodox,"67.3"" / 171 cm",24,20,83.33,168.0,12,60
David Adeleye,28,2019,England,orthodox,"76.4"" / 194 cm",15,14,93.33,50.0,13,93
Ali Akhmedov,30,2016,Kazakhstan,orthodox,"68.1"" / 173 cm",25,23,92.0,112.0,16,70
Jevgenijs Aleksejevs,31,2013,Latvia,orthodox,"72"" / 183 cm",17,17,100.0,,10,59
Sadam Ali,36,2009,United States,orthodox,"72.8"" / 185 cm",30,27,90.0,169.0,14,52
David Allen,32,2012,United Kingdom,orthodox,"75.2"" / 191 cm",32,23,71.88,,18,78
Mikhail Aloyan,36,2017,Russia,southpaw,-,9,8,88.89,,1,12
Rene Alvarado,36,2008,Nicaragua,orthodox,"72"" / 183 cm",51,35,68.63,319.0,22,63
Eleider Alvarez,40,2009,Colombia,orthodox,"75.6"" / 192 cm",27,25,92.59,,13,52
Jared Anderson,25,2019,USA,orthodox,"78.3"" / 199 cm",19,18,94.74,,15,83
Alfredo Angulo,42,2005,Mexico,orthodox,"69.7"" / 177 cm",34,26,76.47,,21,81
Luis Arias,34,2012,United States,orthodox,-,27,22,81.48,159.0,12,55
Jack Arnfield,35,2007,United Kingdom,orthodox,-,30,26,86.67,,6,23
Chris Arreola,43,2003,USA,orthodox,"76"" / 193 cm",47,39,82.98,,36,92
Lyndon Arthur,34,2016,England,orthodox,"74"" / 188 cm",27,24,88.89,149.0,17,71
Mikuru Asakura,31,,Japan,Southpaw (L),-,1,0,0.0,2.0,0,0
Ivan Baranchyk,31,2014,Belarus,orthodox,"66.9"" / 170 cm",23,20,86.96,,13,65
Arnold Barboza Jr,33,2013,USA,orthodox,"72"" / 183 cm",32,32,100.0,,11,34
Sullivan Barrera,42,2009,Cuba,orthodox,"72.8"" / 185 cm",27,22,81.48,,14,64
Tomasz Adamek,48,1999,Poland,orthodox,"75.2"" / 191 cm",59,54,91.53,0.0,31,58
Caoimhin Agyarko,28,2018,Northern Ireland,orthodox,"71.3"" / 181 cm",17,17,100.0,121.0,7,41
Murodjon Akhmadaliev,30,2018,Uzbekistan,southpaw,"68.1"" / 173 cm",14,13,92.86,92.0,10,77
Seigo Yuri Akui,29,2014,Japan,orthodox,"64.2"" / 163 cm",25,21,84.0,,11,52
Devon Alexander,37,2004,USA,southpaw,"68.9"" / 175 cm",37,27,72.97,,14,52
Chris Algieri,40,2008,USA,orthodox,"72"" / 183 cm",29,25,86.21,,9,36
